N,Посада,Мова програмування,Спеціалізація,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Університет,Ще студент,Рівень англійської,Предметна область,Дата заповнення,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg
1,,,,0.5,0.5,400,0,,,,,20,,,True,,,,,0.5,0.5,400,,,82.4
2,,,,3.1646325459317586,1.7654267970401691,430,130,,,,,21,,,True,,,,,0.0,0.0,430,,,101.89300593429718
3,,,,4.0,1.0,2500,800,,,,,26,,,False,,,,,4.0,1.0,2500,,,583.9
4,,,,5.0,4.0,2000,400,,,,,30,,,False,,,,,5.0,4.0,2000,,,445.2
5,,,,3.1646325459317586,0.5,4500,500,,,,,30,,,False,,,,,10.0,0.5,4500,,,954.9164632545932
6,,,,1.0,1.0,400,0,,,,,21,,,True,,,,,1.0,1.0,400,,,83.2
7,,,,1.0,1.7654267970401691,600,100,,,,,23,,,False,,,,,1.0,0.0,600,,,133.37654267970402
8,,,,6.0,1.0,3300,500,,,,,28,,,False,,,,,6.0,1.0,3300,,,715.0
9,,,,0.5,0.5,550,550,,,,,23,,,False,,,,,0.5,0.5,550,,,168.4
10,,,,5.0,2.0,520,20,,,,,29,,,False,,,,,5.0,2.0,520,,,111.3
11,,,,3.0,2.0,1600,300,,,,,25,,,False,,,,,3.0,2.0,1600,,,354.6
12,,,,3.1646325459317586,1.0,5600,1500,,,,,30,,,False,,,,,10.0,1.0,5600,,,1275.7164632545932
13,,,,1.0,1.7654267970401691,800,200,,,,,26,,,False,,,,,1.0,0.0,800,,,184.27654267970402
14,,,,2.0,0.5,1500,500,,,,,26,,,False,,,,,2.0,0.5,1500,,,354.5
15,,,,3.0,1.0,2500,500,,,,,27,,,False,,,,,3.0,1.0,2500,,,555.0
16,,,,5.0,5.0,2900,300,,,,,26,,,False,,,,,5.0,5.0,2900,,,616.2
